age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,default,contract_dt,client_id
33,male,2,own,,,3074,9,radio/TV,0,2008-06-29 18:52:00,210
43,male,1,own,little,little,1344,12,car,0,2007-05-20 18:30:19,929
52,male,2,own,quite rich,,936,9,education,0,2008-04-27 08:23:07,200
35,female,3,own,little,,1393,11,car,0,2007-05-06 10:58:22,45
28,male,2,own,little,,776,12,radio/TV,0,2007-07-21 13:22:14,358
27,female,2,own,little,moderate,1295,18,furniture/equipment,0,2008-06-18 04:10:05,86
29,female,2,own,little,moderate,959,9,furniture/equipment,1,2007-05-21 14:32:00,351
42,female,2,rent,rich,rich,409,12,radio/TV,0,2008-06-05 05:31:13,27
26,male,2,own,little,little,4370,42,radio/TV,1,2007-11-29 00:20:44,639
55,male,2,free,rich,,1555,12,repairs,1,2007-09-11 20:27:28,754
27,female,2,own,little,little,3123,24,car,1,2008-04-16 08:37:35,500
35,male,2,free,little,little,3386,12,car,1,2007-11-16 10:55:10,457
48,male,2,own,little,little,1082,12,car,1,2007-05-13 15:32:57,835
34,male,1,own,moderate,,1743,6,business,0,2008-02-14 01:58:09,348
35,male,2,own,little,moderate,2576,7,radio/TV,0,2008-01-20 14:51:24,447
27,male,2,own,little,,3850,18,car,0,2007-09-03 19:56:34,366
46,male,2,free,quite rich,,727,10,education,0,2007-07-06 20:47:24,354
37,male,3,own,,moderate,4712,24,business,0,2007-11-23 03:51:16,564
29,male,2,own,,,3556,15,car,0,2007-05-06 15:02:50,962
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,1,2007-10-03 06:52:44,618
20,male,2,own,little,,1313,9,furniture/equipment,0,2007-12-18 13:03:24,428
27,male,1,own,little,little,1168,12,car,0,2008-03-22 10:32:04,201
47,male,2,free,little,,5103,24,radio/TV,0,2007-10-25 09:51:21,683
28,male,2,own,little,,1413,24,radio/TV,0,2007-10-18 06:29:19,508
62,male,2,own,quite rich,,1338,6,domestic appliances,0,2007-08-01 18:36:24,816
39,male,3,rent,little,little,3345,24,furniture/equipment,1,2007-11-11 15:12:09,919
35,male,1,own,moderate,little,4380,18,car,0,2008-01-04 17:17:51,737
